Dt1,Machine,7 Hour Count,Actual Tonnes1,Nominal Capacity1,Rolling Average,Rolling Average %
01 Sep 2015 06:00,RL1,4200,4198,7,4104.285714,0.022789116
01 Sep 2015 07:00,RL1,4200,4200,1,4104.285714,0.022789116
01 Sep 2015 08:00,RL1,4200,4199,2,4141.142857,0.014013605
01 Sep 2015 09:00,RL1,4200,3900,3,4134,0.015714286
01 Sep 2015 10:00,RL1,4200,4200,4,4134,0.015714286
01 Sep 2015 11:00,RL1,4200,4018,5,4130.714286,0.016496599
01 Sep 2015 12:00,RL1,4200,3648,6,4051.857143,0.035272109
01 Sep 2015 13:00,RL1,4200,4200,7,4052.142857,0.035204082
01 Sep 2015 14:00,RL1,4200,4100,1,4037.857143,0.038605442
01 Sep 2015 15:00,RL1,4200,3908,2,3996.285714,0.048503401
01 Sep 2015 16:00,RL1,4200,4198,3,4038.857143,0.038367347
01 Sep 2015 17:00,RL1,4200,4200,4,4038.857143,0.038367347
01 Sep 2015 18:00,RL1,4200,4091,5,4049.285714,0.035884354
01 Sep 2015 19:00,RL1,4200,4065,6,4108.857143,0.02170068
01 Sep 2015 20:00,RL1,4200,4200,7,4108.857143,0.02170068
01 Sep 2015 21:00,RL1,4200,4200,1,4123.142857,0.01829932
01 Sep 2015 22:00,RL1,4200,4200,2,4164.857143,0.008367347
01 Sep 2015 23:00,RL1,4200,3833,3,4112.714286,0.020782313
02 Sep 2015 00:00,RL1,4200,4193,4,4111.714286,0.021020408
02 Sep 2015 01:00,RL1,4200,3349,5,4005.714286,0.046258503
02 Sep 2015 02:00,RL1,4200,4200,6,4025,0.041666667
02 Sep 2015 03:00,RL1,4200,3810,7,3969.285714,0.054931973
02 Sep 2015 04:00,RL1,4200,4200,1,3969.285714,0.054931973
02 Sep 2015 05:00,RL1,4200,2670,2,3750.714286,0.106972789
02 Sep 2015 06:00,RL1,4200,3292,3,3673.428571,0.12537415
02 Sep 2015 07:00,RL1,4200,3337,4,3551.142857,0.154489796
02 Sep 2015 08:00,RL1,4200,4199,5,3672.571429,0.125578231
02 Sep 2015 09:00,RL1,4200,4200,6,3672.571429,0.125578231
02 Sep 2015 10:00,RL1,4200,4200,7,3728.285714,0.112312925
02 Sep 2015 11:00,RL1,4200,3131,1,3575.571429,0.148673469
02 Sep 2015 12:00,RL1,4200,3982,2,3763,0.104047619
02 Sep 2015 13:00,RL1,4200,4200,3,3892.714286,0.073163265
02 Sep 2015 14:00,RL1,4200,3832,4,3963.428571,0.056326531
02 Sep 2015 15:00,RL1,4200,4119,5,3952,0.059047619
02 Sep 2015 16:00,RL1,4200,4200,6,3952,0.059047619
02 Sep 2015 17:00,RL1,4200,4197,7,3951.571429,0.05914966
02 Sep 2015 18:00,RL1,4200,4200,1,4104.285714,0.022789116
02 Sep 2015 19:00,RL1,4200,3968,2,4102.285714,0.023265306
02 Sep 2015 20:00,RL1,4200,4191,3,4101,0.023571429
02 Sep 2015 21:00,RL1,4200,4050,4,4132.142857,0.016156463
02 Sep 2015 22:00,RL1,4200,4197,5,4143.285714,0.013503401
02 Sep 2015 23:00,RL1,4200,4200,6,4143.285714,0.013503401
03 Sep 2015 00:00,RL1,4200,3506,7,4044.571429,0.037006803
03 Sep 2015 01:00,RL1,4200,4183,1,4042.142857,0.037585034
03 Sep 2015 02:00,RL1,4200,4197,2,4074.857143,0.029795918
03 Sep 2015 03:00,RL1,4200,3964,3,4042.428571,0.037517007
03 Sep 2015 04:00,RL1,4200,3624,4,3981.571429,0.052006803
03 Sep 2015 05:00,RL1,4200,3528,5,3886,0.074761905
03 Sep 2015 06:00,RL1,4200,4038,6,3862.857143,0.080272109
03 Sep 2015 07:00,RL1,4200,4186,7,3960,0.057142857
03 Sep 2015 08:00,RL1,4200,4200,1,3962.428571,0.056564626
03 Sep 2015 09:00,RL1,4200,4180,2,3960,0.057142857
03 Sep 2015 10:00,RL1,4200,4178,3,3990.571429,0.049863946
03 Sep 2015 11:00,RL1,4200,4200,4,4072.857143,0.030272109
03 Sep 2015 12:00,RL1,4200,4063,5,4149.285714,0.01207483
03 Sep 2015 13:00,RL1,4200,4194,6,4171.571429,0.006768707
03 Sep 2015 14:00,RL1,4200,4200,7,4173.571429,0.006292517
03 Sep 2015 15:00,RL1,4200,4200,1,4173.571429,0.006292517
03 Sep 2015 16:00,RL1,4200,3968,2,4143.285714,0.013503401
03 Sep 2015 17:00,RL1,4200,3761,3,4083.714286,0.027687075
03 Sep 2015 18:00,RL1,4200,4200,4,4083.714286,0.027687075
03 Sep 2015 19:00,RL1,4200,3972,5,4070.714286,0.030782313
03 Sep 2015 20:00,RL1,4200,4200,6,4071.571429,0.030578231
03 Sep 2015 21:00,RL1,4200,4021,7,4046,0.036666667
03 Sep 2015 22:00,RL1,4200,4200,1,4046,0.036666667
03 Sep 2015 23:00,RL1,4200,4190,2,4077.714286,0.029115646
