Dt,Nominal Capacity,Actual Tonnes
01 Sep 2015 00:00,4200,4200
01 Sep 2015 01:00,4200,3941
01 Sep 2015 02:00,4200,3950
01 Sep 2015 03:00,4200,4200
01 Sep 2015 04:00,4200,4041
01 Sep 2015 05:00,4200,4200
01 Sep 2015 06:00,4200,4198
01 Sep 2015 07:00,4200,4200
01 Sep 2015 08:00,4200,4199
01 Sep 2015 09:00,4200,3900
01 Sep 2015 10:00,4200,4200
01 Sep 2015 11:00,4200,4018
01 Sep 2015 12:00,4200,3648
01 Sep 2015 13:00,4200,4200
01 Sep 2015 14:00,4200,4100
01 Sep 2015 15:00,4200,3908
01 Sep 2015 16:00,4200,4198
01 Sep 2015 17:00,4200,4200
01 Sep 2015 18:00,4200,4091
01 Sep 2015 19:00,4200,4065
01 Sep 2015 20:00,4200,4200
01 Sep 2015 21:00,4200,4200
01 Sep 2015 22:00,4200,4200
01 Sep 2015 23:00,4200,3833
02 Sep 2015 00:00,4200,4193
02 Sep 2015 01:00,4200,3349
02 Sep 2015 02:00,4200,4200
02 Sep 2015 03:00,4200,3810
02 Sep 2015 04:00,4200,4200
02 Sep 2015 05:00,4200,2670
02 Sep 2015 06:00,4200,3292
02 Sep 2015 07:00,4200,3337
02 Sep 2015 08:00,4200,4199
02 Sep 2015 09:00,4200,4200
02 Sep 2015 10:00,4200,4200
02 Sep 2015 11:00,4200,3131
02 Sep 2015 12:00,4200,3982
02 Sep 2015 13:00,4200,4200
02 Sep 2015 14:00,4200,3832
02 Sep 2015 15:00,4200,4119
02 Sep 2015 16:00,4200,4200
02 Sep 2015 17:00,4200,4197
02 Sep 2015 18:00,4200,4200
02 Sep 2015 19:00,4200,3968
02 Sep 2015 20:00,4200,4191
02 Sep 2015 21:00,4200,4050
02 Sep 2015 22:00,4200,4197
02 Sep 2015 23:00,4200,4200
03 Sep 2015 00:00,4200,3506
03 Sep 2015 01:00,4200,4183
03 Sep 2015 02:00,4200,4197
03 Sep 2015 03:00,4200,3964
03 Sep 2015 04:00,4200,3624
03 Sep 2015 05:00,4200,3528
03 Sep 2015 06:00,4200,4038
03 Sep 2015 07:00,4200,4186
03 Sep 2015 08:00,4200,4200
03 Sep 2015 09:00,4200,4180
03 Sep 2015 10:00,4200,4178
03 Sep 2015 11:00,4200,4200
03 Sep 2015 12:00,4200,4063
03 Sep 2015 13:00,4200,4194
03 Sep 2015 14:00,4200,4200
03 Sep 2015 15:00,4200,4200
03 Sep 2015 16:00,4200,3968
03 Sep 2015 17:00,4200,3761
03 Sep 2015 18:00,4200,4200
03 Sep 2015 19:00,4200,3972
03 Sep 2015 20:00,4200,4200
03 Sep 2015 21:00,4200,4021
03 Sep 2015 22:00,4200,4200
03 Sep 2015 23:00,4200,4190
04 Sep 2015 00:00,4200,4200
04 Sep 2015 01:00,4200,4188
04 Sep 2015 02:00,4200,4174
04 Sep 2015 03:00,4200,3905
04 Sep 2015 04:00,4200,4195
04 Sep 2015 05:00,4200,3642
04 Sep 2015 06:00,4200,4161
04 Sep 2015 07:00,4200,4173
04 Sep 2015 08:00,4200,4197
04 Sep 2015 09:00,4200,4189
04 Sep 2015 10:00,4200,4200
04 Sep 2015 11:00,4200,4198
04 Sep 2015 12:00,4200,4085
04 Sep 2015 13:00,4200,4167
04 Sep 2015 14:00,4200,4179
04 Sep 2015 15:00,4200,4146
04 Sep 2015 16:00,4200,4200
04 Sep 2015 17:00,4200,3889
04 Sep 2015 18:00,4200,4200
04 Sep 2015 19:00,4200,4117
04 Sep 2015 20:00,4200,3850
04 Sep 2015 21:00,4200,4120
04 Sep 2015 22:00,4200,3986
04 Sep 2015 23:00,4200,4200
05 Sep 2015 00:00,4200,3816
05 Sep 2015 01:00,4200,3765
05 Sep 2015 02:00,4200,4175
05 Sep 2015 03:00,4200,3197
05 Sep 2015 04:00,4200,4200
05 Sep 2015 05:00,4200,3715
05 Sep 2015 06:00,4200,4200
05 Sep 2015 07:00,4200,4200
05 Sep 2015 08:00,4200,4190
05 Sep 2015 09:00,4200,4200
05 Sep 2015 10:00,4200,3438
05 Sep 2015 11:00,4200,3946
05 Sep 2015 12:00,4200,3371
05 Sep 2015 13:00,4200,3960
05 Sep 2015 14:00,4200,4186
05 Sep 2015 15:00,4200,3787
05 Sep 2015 16:00,4200,4200
05 Sep 2015 17:00,4200,3495
05 Sep 2015 18:00,4200,4141
05 Sep 2015 19:00,4200,4200
05 Sep 2015 20:00,4200,4200
05 Sep 2015 21:00,4200,4153
05 Sep 2015 22:00,4200,3878
05 Sep 2015 23:00,4200,3659
06 Sep 2015 00:00,4200,4174
06 Sep 2015 01:00,4200,3786
06 Sep 2015 02:00,4200,4073
06 Sep 2015 03:00,4200,4163
06 Sep 2015 04:00,4200,3549
06 Sep 2015 05:00,4200,3567
06 Sep 2015 06:00,4200,4164
06 Sep 2015 07:00,4200,4149
06 Sep 2015 08:00,4200,3517
06 Sep 2015 09:00,4200,3677
06 Sep 2015 10:00,4200,4192
06 Sep 2015 11:00,4200,4200
06 Sep 2015 12:00,4200,4200
06 Sep 2015 13:00,4200,4200
06 Sep 2015 14:00,4200,4118
06 Sep 2015 15:00,4200,3811
06 Sep 2015 16:00,4200,4200
06 Sep 2015 17:00,4200,4197
06 Sep 2015 18:00,4200,4154
06 Sep 2015 19:00,4200,4200
06 Sep 2015 20:00,4200,4200
06 Sep 2015 21:00,4200,3367
06 Sep 2015 22:00,4200,4029
06 Sep 2015 23:00,4200,3730
07 Sep 2015 00:00,4200,4200
07 Sep 2015 01:00,4200,4153
07 Sep 2015 02:00,4200,3854
07 Sep 2015 03:00,4200,4200
07 Sep 2015 04:00,4200,4200
07 Sep 2015 05:00,4200,3837
07 Sep 2015 06:00,4200,4200
07 Sep 2015 07:00,4200,4018
07 Sep 2015 08:00,4200,4088
07 Sep 2015 09:00,4200,4164
07 Sep 2015 10:00,4200,4200
07 Sep 2015 11:00,4200,3711
07 Sep 2015 12:00,4200,3657
07 Sep 2015 13:00,4200,4154
07 Sep 2015 14:00,4200,4200
07 Sep 2015 15:00,4200,3527
07 Sep 2015 16:00,4200,3705
07 Sep 2015 17:00,4200,4200
07 Sep 2015 18:00,4200,4200
07 Sep 2015 19:00,4200,4171
07 Sep 2015 20:00,4200,4200
07 Sep 2015 21:00,4200,3834
07 Sep 2015 22:00,4200,4181
07 Sep 2015 23:00,4200,4200
08 Sep 2015 00:00,4200,4116
08 Sep 2015 01:00,4200,4181
08 Sep 2015 02:00,4200,4185
