Dt,Nominal Capacity,Actual Tonnes
2015-09-06 0:00,4500,3993
2015-09-06 1:00,4500,4500
2015-09-06 2:00,4500,4499
2015-09-06 3:00,4500,4370
2015-09-06 4:00,4500,4499
2015-09-06 5:00,4500,4500
2015-09-06 6:00,4500,4500
2015-09-06 7:00,4500,4497
2015-09-06 8:00,4500,4244
2015-09-06 9:00,4500,4497
2015-09-06 10:00,4500,3770
2015-09-06 11:00,4500,4438
2015-09-06 12:00,4500,4500
2015-09-06 13:00,4500,3934
2015-09-06 14:00,4500,4244
2015-09-06 15:00,4500,3757
2015-09-06 16:00,4500,4068
2015-09-06 17:00,4500,3859
2015-09-06 18:00,4500,4500
2015-09-06 19:00,4500,4495
2015-09-06 20:00,4500,4198
2015-09-06 21:00,4500,4500
2015-09-06 22:00,4500,4492
2015-09-06 23:00,4500,4155
2015-09-07 0:00,4500,4458
2015-09-07 1:00,4500,4493
2015-09-07 2:00,4500,4433
2015-09-07 3:00,4500,4500
2015-09-07 4:00,4500,4441
2015-09-07 5:00,4500,4317
2015-09-07 6:00,4500,4118
2015-09-07 7:00,4500,4264
2015-09-07 8:00,4500,4500
2015-09-07 9:00,4500,4413
2015-09-07 10:00,4500,4289
2015-09-07 11:00,4500,4483
2015-09-07 12:00,4500,4062
2015-09-07 13:00,4500,4487
2015-09-07 14:00,4500,3793
2015-09-07 15:00,4500,4484
2015-09-07 16:00,4500,4271
2015-09-07 17:00,4500,4477
2015-09-07 18:00,4500,4500
2015-09-07 19:00,4500,4171
2015-09-07 20:00,4500,4103
2015-09-07 21:00,4500,3854
2015-09-07 22:00,4500,4278
2015-09-07 23:00,4500,4221
2015-09-08 0:00,4500,4500
2015-09-08 1:00,4500,4500
2015-09-08 2:00,4500,4228
2015-09-08 3:00,4500,4130
2015-09-08 4:00,4500,4484
2015-09-08 5:00,4500,4500
2015-09-08 6:00,4500,4500
2015-09-08 7:00,4500,4500
2015-09-08 8:00,4500,4485
2015-09-08 9:00,4500,4496
2015-09-08 10:00,4500,4016
2015-09-08 11:00,4500,4499
2015-09-08 12:00,4500,4014
2015-09-08 13:00,4500,4310
2015-09-08 14:00,4500,4500
2015-09-08 15:00,4500,4431
2015-09-08 16:00,4500,4376
2015-09-08 17:00,4500,3935
2015-09-08 18:00,4500,4373
2015-09-08 19:00,4500,4492
2015-09-08 20:00,4500,4500
2015-09-08 21:00,4500,3970
2015-09-08 22:00,4500,4497
2015-09-08 23:00,4500,4383
2015-09-09 0:00,4500,4425
2015-09-09 1:00,4500,4187
2015-09-09 2:00,4500,4456
2015-09-09 3:00,4500,4272
2015-09-09 4:00,4500,4457
2015-09-09 5:00,4500,4500
2015-09-09 6:00,4500,4500
2015-09-09 7:00,4500,4500
2015-09-09 8:00,4500,4500
2015-09-09 9:00,4500,4474
2015-09-09 10:00,4500,4382
2015-09-09 11:00,4500,4171
2015-09-09 12:00,4500,4173
2015-09-09 13:00,4500,3663
2015-09-09 14:00,4500,4500
2015-09-09 15:00,4500,3500
2015-09-09 16:00,4500,4500
2015-09-09 17:00,4500,4133
2015-09-09 18:00,4500,4251
2015-09-09 19:00,4500,4484
2015-09-09 20:00,4500,4488
2015-09-09 21:00,4500,4500
2015-09-09 22:00,4500,4500
2015-09-09 23:00,4500,4467
2015-09-10 0:00,4500,4499
2015-09-10 1:00,4500,4500
2015-09-10 2:00,4500,4302
2015-09-10 3:00,4500,4267
2015-09-10 4:00,4500,4494
2015-09-10 5:00,4500,4449
2015-09-10 6:00,4500,4354
2015-09-10 7:00,4500,4351
2015-09-10 8:00,4500,4487
2015-09-10 9:00,4500,4453
2015-09-10 10:00,4500,3595
2015-09-10 11:00,4500,4376
